report_month,price_range,range_min,range_max,range_rank,listings,sales_prev_12mo,months_inventory,source_pdf,parsed_at,built_at
2024-01,"Below $125,000",0.0,125000.0,1,1247.0,5734.0,2.6,data\pdfs\nc_housing_2024-01.pdf,2026-02-23 15:47:55,2026-03-10 19:30:26
2024-01,"$125,000 - $249,999",125000.0,249999.0,2,6568.0,29820.0,2.6,data\pdfs\nc_housing_2024-01.pdf,2026-02-23 15:47:55,2026-03-10 19:30:26
2024-01,"$250,000 - $374,999",250000.0,374999.0,3,13240.0,47287.0,3.4,data\pdfs\nc_housing_2024-01.pdf,2026-02-23 15:47:55,2026-03-10 19:30:26
2024-01,"$375,000 - $499,999",375000.0,499999.0,4,9378.0,32149.0,3.5,data\pdfs\nc_housing_2024-01.pdf,2026-02-23 15:47:55,2026-03-10 19:30:26
2024-01,"$500,000 - $624,999",500000.0,624999.0,5,4021.0,13460.0,3.6,data\pdfs\nc_housing_2024-01.pdf,2026-02-23 15:47:55,2026-03-10 19:30:26
2024-01,"$625,000 - $749,999",625000.0,749999.0,6,2439.0,8402.0,3.5,data\pdfs\nc_housing_2024-01.pdf,2026-02-23 15:47:55,2026-03-10 19:30:26
2024-01,"$750,000 - $874,999",750000.0,874999.0,7,1408.0,4301.0,3.9,data\pdfs\nc_housing_2024-01.pdf,2026-02-23 15:47:55,2026-03-10 19:30:26
2024-01,"$875,000 - $999,999",875000.0,999999.0,8,1055.0,2644.0,4.8,data\pdfs\nc_housing_2024-01.pdf,2026-02-23 15:47:55,2026-03-10 19:30:26
2024-01,$1M - $1.99M,1000000.0,1990000.0,9,2214.0,4832.0,5.5,data\pdfs\nc_housing_2024-01.pdf,2026-02-23 15:47:55,2026-03-10 19:30:26
2024-01,$2M and up,2000000.0,,10,793.0,895.0,10.7,data\pdfs\nc_housing_2024-01.pdf,2026-02-23 15:47:55,2026-03-10 19:30:26
2024-02,"Below $125,000",0.0,125000.0,1,1230.0,5580.0,2.6,data\pdfs\nc_housing_2024-02.pdf,2026-02-23 15:48:34,2026-03-10 19:30:26
2024-02,"$125,000 - $249,999",125000.0,249999.0,2,6784.0,29329.0,2.8,data\pdfs\nc_housing_2024-02.pdf,2026-02-23 15:48:34,2026-03-10 19:30:26
2024-02,"$250,000 - $374,999",250000.0,374999.0,3,12940.0,47415.0,3.3,data\pdfs\nc_housing_2024-02.pdf,2026-02-23 15:48:34,2026-03-10 19:30:26
2024-02,"$375,000 - $499,999",375000.0,499999.0,4,9342.0,32131.0,3.5,data\pdfs\nc_housing_2024-02.pdf,2026-02-23 15:48:34,2026-03-10 19:30:26
2024-02,"$500,000 - $624,999",500000.0,624999.0,5,4165.0,13465.0,3.7,data\pdfs\nc_housing_2024-02.pdf,2026-02-23 15:48:34,2026-03-10 19:30:26
2024-02,"$625,000 - $749,999",625000.0,749999.0,6,2591.0,8464.0,3.7,data\pdfs\nc_housing_2024-02.pdf,2026-02-23 15:48:34,2026-03-10 19:30:26
2024-02,"$750,000 - $874,999",750000.0,874999.0,7,1522.0,4293.0,4.3,data\pdfs\nc_housing_2024-02.pdf,2026-02-23 15:48:34,2026-03-10 19:30:26
2024-02,"$875,000 - $999,999",875000.0,999999.0,8,1144.0,2689.0,5.1,data\pdfs\nc_housing_2024-02.pdf,2026-02-23 15:48:34,2026-03-10 19:30:26
2024-02,$1M - $1.99M,1000000.0,1990000.0,9,2431.0,4897.0,6.0,data\pdfs\nc_housing_2024-02.pdf,2026-02-23 15:48:34,2026-03-10 19:30:26
2024-02,$2M and up,2000000.0,,10,824.0,916.0,10.8,data\pdfs\nc_housing_2024-02.pdf,2026-02-23 15:48:34,2026-03-10 19:30:26
2024-03,"Below $125,000",0.0,125000.0,1,1260.0,5463.0,2.8,data\pdfs\nc_housing_2024-03.pdf,2026-02-23 15:48:36,2026-03-10 19:30:26
2024-03,"$125,000 - $249,999",125000.0,249999.0,2,7217.0,29019.0,3.0,data\pdfs\nc_housing_2024-03.pdf,2026-02-23 15:48:36,2026-03-10 19:30:26
2024-03,"$250,000 - $374,999",250000.0,374999.0,3,14567.0,47956.0,3.6,data\pdfs\nc_housing_2024-03.pdf,2026-02-23 15:48:36,2026-03-10 19:30:26
2024-03,"$375,000 - $499,999",375000.0,499999.0,4,10995.0,32369.0,4.1,data\pdfs\nc_housing_2024-03.pdf,2026-02-23 15:48:36,2026-03-10 19:30:26
2024-03,"$500,000 - $624,999",500000.0,624999.0,5,4828.0,13598.0,4.3,data\pdfs\nc_housing_2024-03.pdf,2026-02-23 15:48:36,2026-03-10 19:30:26
2024-03,"$625,000 - $749,999",625000.0,749999.0,6,2969.0,8525.0,4.2,data\pdfs\nc_housing_2024-03.pdf,2026-02-23 15:48:36,2026-03-10 19:30:26
2024-03,"$750,000 - $874,999",750000.0,874999.0,7,1739.0,4361.0,4.8,data\pdfs\nc_housing_2024-03.pdf,2026-02-23 15:48:36,2026-03-10 19:30:26
2024-03,"$875,000 - $999,999",875000.0,999999.0,8,1324.0,2737.0,5.8,data\pdfs\nc_housing_2024-03.pdf,2026-02-23 15:48:36,2026-03-10 19:30:26
2024-03,$1M - $1.99M,1000000.0,1990000.0,9,2813.0,4949.0,6.8,data\pdfs\nc_housing_2024-03.pdf,2026-02-23 15:48:36,2026-03-10 19:30:26
2024-03,$2M and up,2000000.0,,10,977.0,953.0,12.4,data\pdfs\nc_housing_2024-03.pdf,2026-02-23 15:48:36,2026-03-10 19:30:26
2024-04,"Below $125,000",0.0,125000.0,1,1219.0,5242.0,2.8,data\pdfs\nc_housing_2024-04.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-04,"$125,000 - $249,999",125000.0,249999.0,2,7187.0,28297.0,3.0,data\pdfs\nc_housing_2024-04.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-04,"$250,000 - $374,999",250000.0,374999.0,3,14915.0,47152.0,3.8,data\pdfs\nc_housing_2024-04.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-04,"$375,000 - $499,999",375000.0,499999.0,4,11348.0,31866.0,4.3,data\pdfs\nc_housing_2024-04.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-04,"$500,000 - $624,999",500000.0,624999.0,5,5051.0,13544.0,4.5,data\pdfs\nc_housing_2024-04.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-04,"$625,000 - $749,999",625000.0,749999.0,6,3167.0,8421.0,4.5,data\pdfs\nc_housing_2024-04.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-04,"$750,000 - $874,999",750000.0,874999.0,7,1950.0,4414.0,5.3,data\pdfs\nc_housing_2024-04.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-04,"$875,000 - $999,999",875000.0,999999.0,8,1446.0,2752.0,6.3,data\pdfs\nc_housing_2024-04.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-04,$1M - $1.99M,1000000.0,1990000.0,9,3037.0,5027.0,7.3,data\pdfs\nc_housing_2024-04.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-04,$2M and up,2000000.0,,10,1083.0,969.0,13.5,data\pdfs\nc_housing_2024-04.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-05,"Below $125,000",0.0,125000.0,1,1249.0,5156.0,2.9,data\pdfs\nc_housing_2024-05.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-05,"$125,000 - $249,999",125000.0,249999.0,2,7205.0,28088.0,3.1,data\pdfs\nc_housing_2024-05.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-05,"$250,000 - $374,999",250000.0,374999.0,3,15020.0,47379.0,3.8,data\pdfs\nc_housing_2024-05.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-05,"$375,000 - $499,999",375000.0,499999.0,4,11794.0,31898.0,4.4,data\pdfs\nc_housing_2024-05.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-05,"$500,000 - $624,999",500000.0,624999.0,5,5415.0,13727.0,4.7,data\pdfs\nc_housing_2024-05.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-05,"$625,000 - $749,999",625000.0,749999.0,6,3384.0,8530.0,4.8,data\pdfs\nc_housing_2024-05.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-05,"$750,000 - $874,999",750000.0,874999.0,7,2109.0,4467.0,5.7,data\pdfs\nc_housing_2024-05.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-05,"$875,000 - $999,999",875000.0,999999.0,8,1522.0,2864.0,6.4,data\pdfs\nc_housing_2024-05.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-05,$1M - $1.99M,1000000.0,1990000.0,9,3241.0,5129.0,7.6,data\pdfs\nc_housing_2024-05.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-05,$2M and up,2000000.0,,10,1119.0,1025.0,13.2,data\pdfs\nc_housing_2024-05.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-06,"Below $125,000",0.0,125000.0,1,1239.0,4948.0,3.0,data\pdfs\nc_housing_2024-06.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-06,"$125,000 - $249,999",125000.0,249999.0,2,7316.0,27811.0,3.2,data\pdfs\nc_housing_2024-06.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-06,"$250,000 - $374,999",250000.0,374999.0,3,14716.0,47337.0,3.7,data\pdfs\nc_housing_2024-06.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-06,"$375,000 - $499,999",375000.0,499999.0,4,11854.0,31912.0,4.5,data\pdfs\nc_housing_2024-06.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-06,"$500,000 - $624,999",500000.0,624999.0,5,5536.0,13657.0,4.9,data\pdfs\nc_housing_2024-06.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-06,"$625,000 - $749,999",625000.0,749999.0,6,3349.0,8611.0,4.7,data\pdfs\nc_housing_2024-06.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-06,"$750,000 - $874,999",750000.0,874999.0,7,2198.0,4537.0,5.8,data\pdfs\nc_housing_2024-06.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-06,"$875,000 - $999,999",875000.0,999999.0,8,1518.0,2900.0,6.3,data\pdfs\nc_housing_2024-06.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-06,$1M - $1.99M,1000000.0,1990000.0,9,3306.0,5215.0,7.6,data\pdfs\nc_housing_2024-06.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-06,$2M and up,2000000.0,,10,1156.0,1079.0,13.0,data\pdfs\nc_housing_2024-06.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-07,"Below $125,000",0.0,125000.0,1,1191.0,4699.0,3.0,data\pdfs\nc_housing_2024-07.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-07,"$125,000 - $249,999",125000.0,249999.0,2,7244.0,27147.0,3.2,data\pdfs\nc_housing_2024-07.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-07,"$250,000 - $374,999",250000.0,374999.0,3,14693.0,46393.0,3.8,data\pdfs\nc_housing_2024-07.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-07,"$375,000 - $499,999",375000.0,499999.0,4,11979.0,31364.0,4.6,data\pdfs\nc_housing_2024-07.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-07,"$500,000 - $624,999",500000.0,624999.0,5,5467.0,13400.0,4.9,data\pdfs\nc_housing_2024-07.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-07,"$625,000 - $749,999",625000.0,749999.0,6,3328.0,8551.0,4.7,data\pdfs\nc_housing_2024-07.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-07,"$750,000 - $874,999",750000.0,874999.0,7,2126.0,4555.0,5.6,data\pdfs\nc_housing_2024-07.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-07,"$875,000 - $999,999",875000.0,999999.0,8,1515.0,2953.0,6.2,data\pdfs\nc_housing_2024-07.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-07,$1M - $1.99M,1000000.0,1990000.0,9,3255.0,5236.0,7.5,data\pdfs\nc_housing_2024-07.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-07,$2M and up,2000000.0,,10,1157.0,1070.0,13.0,data\pdfs\nc_housing_2024-07.pdf,2026-03-04 11:14:35,2026-03-10 19:30:26
2024-08,"Below $125,000",0.0,125000.0,1,1236.0,4619.0,3.2,data\pdfs\nc_housing_2024-08.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-08,"$125,000 - $249,999",125000.0,249999.0,2,7565.0,27101.0,3.4,data\pdfs\nc_housing_2024-08.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-08,"$250,000 - $374,999",250000.0,374999.0,3,15217.0,45517.0,4.0,data\pdfs\nc_housing_2024-08.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-08,"$375,000 - $499,999",375000.0,499999.0,4,12130.0,30907.0,4.7,data\pdfs\nc_housing_2024-08.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-08,"$500,000 - $624,999",500000.0,624999.0,5,5468.0,13418.0,4.9,data\pdfs\nc_housing_2024-08.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-08,"$625,000 - $749,999",625000.0,749999.0,6,3384.0,8442.0,4.8,data\pdfs\nc_housing_2024-08.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-08,"$750,000 - $874,999",750000.0,874999.0,7,2125.0,4673.0,5.5,data\pdfs\nc_housing_2024-08.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-08,"$875,000 - $999,999",875000.0,999999.0,8,1534.0,3025.0,6.1,data\pdfs\nc_housing_2024-08.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-08,$1M - $1.99M,1000000.0,1990000.0,9,3201.0,5304.0,7.2,data\pdfs\nc_housing_2024-08.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-08,$2M and up,2000000.0,,10,1148.0,1124.0,12.3,data\pdfs\nc_housing_2024-08.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-09,"Below $125,000",0.0,125000.0,1,1236.0,4416.0,3.4,data\pdfs\nc_housing_2024-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-09,"$125,000 - $249,999",125000.0,249999.0,2,7719.0,26586.0,3.5,data\pdfs\nc_housing_2024-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-09,"$250,000 - $374,999",250000.0,374999.0,3,15220.0,45264.0,4.0,data\pdfs\nc_housing_2024-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-09,"$375,000 - $499,999",375000.0,499999.0,4,12219.0,30839.0,4.8,data\pdfs\nc_housing_2024-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-09,"$500,000 - $624,999",500000.0,624999.0,5,5546.0,13448.0,5.0,data\pdfs\nc_housing_2024-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-09,"$625,000 - $749,999",625000.0,749999.0,6,3516.0,8365.0,5.0,data\pdfs\nc_housing_2024-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-09,"$750,000 - $874,999",750000.0,874999.0,7,2107.0,4714.0,5.4,data\pdfs\nc_housing_2024-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-09,"$875,000 - $999,999",875000.0,999999.0,8,1514.0,3036.0,6.0,data\pdfs\nc_housing_2024-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-09,$1M - $1.99M,1000000.0,1990000.0,9,3329.0,5375.0,7.4,data\pdfs\nc_housing_2024-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-09,$2M and up,2000000.0,,10,1154.0,1147.0,12.1,data\pdfs\nc_housing_2024-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-10,"Below $125,000",0.0,125000.0,1,1274.0,4230.0,3.6,data\pdfs\nc_housing_2024-10.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-10,"$125,000 - $249,999",125000.0,249999.0,2,7839.0,26180.0,3.6,data\pdfs\nc_housing_2024-10.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-10,"$250,000 - $374,999",250000.0,374999.0,3,15526.0,45334.0,4.1,data\pdfs\nc_housing_2024-10.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-10,"$375,000 - $499,999",375000.0,499999.0,4,12076.0,30886.0,4.7,data\pdfs\nc_housing_2024-10.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-10,"$500,000 - $624,999",500000.0,624999.0,5,5456.0,13463.0,4.9,data\pdfs\nc_housing_2024-10.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-10,"$625,000 - $749,999",625000.0,749999.0,6,3451.0,8377.0,4.9,data\pdfs\nc_housing_2024-10.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-10,"$750,000 - $874,999",750000.0,874999.0,7,2049.0,4765.0,5.2,data\pdfs\nc_housing_2024-10.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-10,"$875,000 - $999,999",875000.0,999999.0,8,1470.0,3072.0,5.7,data\pdfs\nc_housing_2024-10.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-10,$1M - $1.99M,1000000.0,1990000.0,9,3178.0,5365.0,7.1,data\pdfs\nc_housing_2024-10.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-10,$2M and up,2000000.0,,10,1083.0,1186.0,11.1,data\pdfs\nc_housing_2024-10.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-11,"Below $125,000",0.0,125000.0,1,1310.0,4132.0,3.8,data\pdfs\nc_housing_2024-11.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-11,"$125,000 - $249,999",125000.0,249999.0,2,8100.0,26091.0,3.7,data\pdfs\nc_housing_2024-11.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-11,"$250,000 - $374,999",250000.0,374999.0,3,15102.0,45402.0,4.0,data\pdfs\nc_housing_2024-11.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-11,"$375,000 - $499,999",375000.0,499999.0,4,11467.0,31111.0,4.4,data\pdfs\nc_housing_2024-11.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-11,"$500,000 - $624,999",500000.0,624999.0,5,5201.0,13589.0,4.6,data\pdfs\nc_housing_2024-11.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-11,"$625,000 - $749,999",625000.0,749999.0,6,3393.0,8381.0,4.9,data\pdfs\nc_housing_2024-11.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-11,"$750,000 - $874,999",750000.0,874999.0,7,1910.0,4792.0,4.8,data\pdfs\nc_housing_2024-11.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-11,"$875,000 - $999,999",875000.0,999999.0,8,1401.0,3098.0,5.4,data\pdfs\nc_housing_2024-11.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-11,$1M - $1.99M,1000000.0,1990000.0,9,2976.0,5419.0,6.6,data\pdfs\nc_housing_2024-11.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-11,$2M and up,2000000.0,,10,1027.0,1203.0,10.3,data\pdfs\nc_housing_2024-11.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-12,"Below $125,000",0.0,125000.0,1,1267.0,4054.0,3.8,data\pdfs\nc_housing_2024-12.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-12,"$125,000 - $249,999",125000.0,249999.0,2,7758.0,26136.0,3.6,data\pdfs\nc_housing_2024-12.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-12,"$250,000 - $374,999",250000.0,374999.0,3,15230.0,47705.0,3.8,data\pdfs\nc_housing_2024-12.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-12,"$375,000 - $499,999",375000.0,499999.0,4,10980.0,32574.0,4.0,data\pdfs\nc_housing_2024-12.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-12,"$500,000 - $624,999",500000.0,624999.0,5,4715.0,14116.0,4.0,data\pdfs\nc_housing_2024-12.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-12,"$625,000 - $749,999",625000.0,749999.0,6,2886.0,8586.0,4.0,data\pdfs\nc_housing_2024-12.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-12,"$750,000 - $874,999",750000.0,874999.0,7,1721.0,4907.0,4.2,data\pdfs\nc_housing_2024-12.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-12,"$875,000 - $999,999",875000.0,999999.0,8,1211.0,3205.0,4.5,data\pdfs\nc_housing_2024-12.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-12,$1M - $1.99M,1000000.0,1990000.0,9,2702.0,5589.0,5.8,data\pdfs\nc_housing_2024-12.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-12,$2M and up,2000000.0,,10,921.0,1213.0,9.1,data\pdfs\nc_housing_2024-12.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-01,"Below $125,000",0.0,125000.0,1,1229.0,3983.0,3.7,data\pdfs\nc_housing_2025-01.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-01,"$125,000 - $249,999",125000.0,249999.0,2,7660.0,26013.0,3.5,data\pdfs\nc_housing_2025-01.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-01,"$250,000 - $374,999",250000.0,374999.0,3,15726.0,47872.0,3.9,data\pdfs\nc_housing_2025-01.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-01,"$375,000 - $499,999",375000.0,499999.0,4,11391.0,32896.0,4.2,data\pdfs\nc_housing_2025-01.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-01,"$500,000 - $624,999",500000.0,624999.0,5,4983.0,14383.0,4.2,data\pdfs\nc_housing_2025-01.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-01,"$625,000 - $749,999",625000.0,749999.0,6,3102.0,8758.0,4.3,data\pdfs\nc_housing_2025-01.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-01,"$750,000 - $874,999",750000.0,874999.0,7,1847.0,4960.0,4.5,data\pdfs\nc_housing_2025-01.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-01,"$875,000 - $999,999",875000.0,999999.0,8,1259.0,3261.0,4.6,data\pdfs\nc_housing_2025-01.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-01,$1M - $1.99M,1000000.0,1990000.0,9,2722.0,5719.0,5.7,data\pdfs\nc_housing_2025-01.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
