report_month,price_range,range_min,range_max,range_rank,listings,sales_prev_12mo,months_inventory,source_pdf,parsed_at,built_at
2025-01,$2M and up,2000000.0,,10,906.0,1209.0,9.1,data\pdfs\nc_housing_2025-01.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-02,"Below $125,000",0.0,125000.0,1,1254.0,3903.0,3.9,data\pdfs\nc_housing_2025-02.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-02,"$125,000 - $249,999",125000.0,249999.0,2,7808.0,25838.0,3.6,data\pdfs\nc_housing_2025-02.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-02,"$250,000 - $374,999",250000.0,374999.0,3,15971.0,47673.0,4.0,data\pdfs\nc_housing_2025-02.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-02,"$375,000 - $499,999",375000.0,499999.0,4,11726.0,32917.0,4.3,data\pdfs\nc_housing_2025-02.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-02,"$500,000 - $624,999",500000.0,624999.0,5,5193.0,14492.0,4.3,data\pdfs\nc_housing_2025-02.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-02,"$625,000 - $749,999",625000.0,749999.0,6,3299.0,8787.0,4.5,data\pdfs\nc_housing_2025-02.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-02,"$750,000 - $874,999",750000.0,874999.0,7,2008.0,5009.0,4.8,data\pdfs\nc_housing_2025-02.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-02,"$875,000 - $999,999",875000.0,999999.0,8,1356.0,3265.0,5.0,data\pdfs\nc_housing_2025-02.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-02,$1M - $1.99M,1000000.0,1990000.0,9,2911.0,5752.0,6.1,data\pdfs\nc_housing_2025-02.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-02,$2M and up,2000000.0,,10,987.0,1238.0,9.6,data\pdfs\nc_housing_2025-02.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-03,"Below $125,000",0.0,125000.0,1,1254.0,3903.0,3.9,data\pdfs\nc_housing_2025-03.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-03,"$125,000 - $249,999",125000.0,249999.0,2,7808.0,25838.0,3.6,data\pdfs\nc_housing_2025-03.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-03,"$250,000 - $374,999",250000.0,374999.0,3,15971.0,47673.0,4.0,data\pdfs\nc_housing_2025-03.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-03,"$375,000 - $499,999",375000.0,499999.0,4,11726.0,32917.0,4.3,data\pdfs\nc_housing_2025-03.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-03,"$500,000 - $624,999",500000.0,624999.0,5,5193.0,14492.0,4.3,data\pdfs\nc_housing_2025-03.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-03,"$625,000 - $749,999",625000.0,749999.0,6,3299.0,8787.0,4.5,data\pdfs\nc_housing_2025-03.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-03,"$750,000 - $874,999",750000.0,874999.0,7,2008.0,5009.0,4.8,data\pdfs\nc_housing_2025-03.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-03,"$875,000 - $999,999",875000.0,999999.0,8,1356.0,3265.0,5.0,data\pdfs\nc_housing_2025-03.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-03,$1M - $1.99M,1000000.0,1990000.0,9,2911.0,5752.0,6.1,data\pdfs\nc_housing_2025-03.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-03,$2M and up,2000000.0,,10,987.0,1238.0,9.6,data\pdfs\nc_housing_2025-03.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-04,"Below $125,000",0.0,125000.0,1,1330.0,3708.0,4.3,data\pdfs\nc_housing_2025-04.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-04,"$125,000 - $249,999",125000.0,249999.0,2,8672.0,24908.0,4.2,data\pdfs\nc_housing_2025-04.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-04,"$250,000 - $374,999",250000.0,374999.0,3,18562.0,46200.0,4.8,data\pdfs\nc_housing_2025-04.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-04,"$375,000 - $499,999",375000.0,499999.0,4,14005.0,32110.0,5.2,data\pdfs\nc_housing_2025-04.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-04,"$500,000 - $624,999",500000.0,624999.0,5,6511.0,14202.0,5.5,data\pdfs\nc_housing_2025-04.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-04,"$625,000 - $749,999",625000.0,749999.0,6,4223.0,8682.0,5.8,data\pdfs\nc_housing_2025-04.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-04,"$750,000 - $874,999",750000.0,874999.0,7,2566.0,5001.0,6.2,data\pdfs\nc_housing_2025-04.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-04,"$875,000 - $999,999",875000.0,999999.0,8,1787.0,3247.0,6.6,data\pdfs\nc_housing_2025-04.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-04,$1M - $1.99M,1000000.0,1990000.0,9,3856.0,5825.0,8.0,data\pdfs\nc_housing_2025-04.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-04,$2M and up,2000000.0,,10,1285.0,1232.0,12.6,data\pdfs\nc_housing_2025-04.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-05,"Below $125,000",0.0,125000.0,1,1272.0,3507.0,4.4,data\pdfs\nc_housing_2025-05.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-05,"$125,000 - $249,999",125000.0,249999.0,2,8311.0,23587.0,4.2,data\pdfs\nc_housing_2025-05.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-05,"$250,000 - $374,999",250000.0,374999.0,3,19638.0,45398.0,5.2,data\pdfs\nc_housing_2025-05.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-05,"$375,000 - $499,999",375000.0,499999.0,4,15326.0,31811.0,5.8,data\pdfs\nc_housing_2025-05.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-05,"$500,000 - $624,999",500000.0,624999.0,5,7394.0,14095.0,6.3,data\pdfs\nc_housing_2025-05.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-05,"$625,000 - $749,999",625000.0,749999.0,6,4756.0,8595.0,6.6,data\pdfs\nc_housing_2025-05.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-05,"$750,000 - $874,999",750000.0,874999.0,7,2940.0,5000.0,7.1,data\pdfs\nc_housing_2025-05.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-05,"$875,000 - $999,999",875000.0,999999.0,8,2072.0,3183.0,7.8,data\pdfs\nc_housing_2025-05.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-05,$1M - $1.99M,1000000.0,1990000.0,9,4341.0,5796.0,9.0,data\pdfs\nc_housing_2025-05.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-05,$2M and up,2000000.0,,10,1456.0,1225.0,14.3,data\pdfs\nc_housing_2025-05.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-06,"Below $125,000",0.0,125000.0,1,1179.0,3477.0,4.1,data\pdfs\nc_housing_2025-06.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-06,"$125,000 - $249,999",125000.0,249999.0,2,8247.0,23333.0,4.2,data\pdfs\nc_housing_2025-06.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-06,"$250,000 - $374,999",250000.0,374999.0,3,19558.0,45180.0,5.2,data\pdfs\nc_housing_2025-06.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-06,"$375,000 - $499,999",375000.0,499999.0,4,15257.0,31876.0,5.7,data\pdfs\nc_housing_2025-06.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-06,"$500,000 - $624,999",500000.0,624999.0,5,7412.0,14158.0,6.3,data\pdfs\nc_housing_2025-06.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-06,"$625,000 - $749,999",625000.0,749999.0,6,4748.0,8566.0,6.7,data\pdfs\nc_housing_2025-06.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-06,"$750,000 - $874,999",750000.0,874999.0,7,2952.0,5022.0,7.1,data\pdfs\nc_housing_2025-06.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-06,"$875,000 - $999,999",875000.0,999999.0,8,2053.0,3148.0,7.8,data\pdfs\nc_housing_2025-06.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-06,$1M - $1.99M,1000000.0,1990000.0,9,4266.0,5797.0,8.8,data\pdfs\nc_housing_2025-06.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-06,$2M and up,2000000.0,,10,1471.0,1198.0,14.9,data\pdfs\nc_housing_2025-06.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-07,"Below $125,000",0.0,125000.0,1,1170.0,3449.0,4.1,data\pdfs\nc_housing_2025-07.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-07,"$125,000 - $249,999",125000.0,249999.0,2,8274.0,23215.0,4.3,data\pdfs\nc_housing_2025-07.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-07,"$250,000 - $374,999",250000.0,374999.0,3,19812.0,45305.0,5.2,data\pdfs\nc_housing_2025-07.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-07,"$375,000 - $499,999",375000.0,499999.0,4,15417.0,32178.0,5.8,data\pdfs\nc_housing_2025-07.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-07,"$500,000 - $624,999",500000.0,624999.0,5,7419.0,14341.0,6.2,data\pdfs\nc_housing_2025-07.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-07,"$625,000 - $749,999",625000.0,749999.0,6,4655.0,8606.0,6.5,data\pdfs\nc_housing_2025-07.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-07,"$750,000 - $874,999",750000.0,874999.0,7,2906.0,5069.0,6.9,data\pdfs\nc_housing_2025-07.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-07,"$875,000 - $999,999",875000.0,999999.0,8,2012.0,3194.0,7.6,data\pdfs\nc_housing_2025-07.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-07,$1M - $1.99M,1000000.0,1990000.0,9,4201.0,5911.0,8.5,data\pdfs\nc_housing_2025-07.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-07,$2M and up,2000000.0,,10,1504.0,1234.0,14.7,data\pdfs\nc_housing_2025-07.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-08,"Below $125,000",0.0,125000.0,1,1179.0,3415.0,4.2,data\pdfs\nc_housing_2025-08.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-08,"$125,000 - $249,999",125000.0,249999.0,2,8552.0,22989.0,4.5,data\pdfs\nc_housing_2025-08.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-08,"$250,000 - $374,999",250000.0,374999.0,3,19817.0,45389.0,5.2,data\pdfs\nc_housing_2025-08.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-08,"$375,000 - $499,999",375000.0,499999.0,4,15269.0,32301.0,5.7,data\pdfs\nc_housing_2025-08.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-08,"$500,000 - $624,999",500000.0,624999.0,5,7354.0,14425.0,6.1,data\pdfs\nc_housing_2025-08.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-08,"$625,000 - $749,999",625000.0,749999.0,6,4649.0,8706.0,6.4,data\pdfs\nc_housing_2025-08.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-08,"$750,000 - $874,999",750000.0,874999.0,7,2903.0,5045.0,6.9,data\pdfs\nc_housing_2025-08.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-08,"$875,000 - $999,999",875000.0,999999.0,8,1943.0,3265.0,7.1,data\pdfs\nc_housing_2025-08.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-08,$1M - $1.99M,1000000.0,1990000.0,9,4052.0,6023.0,8.1,data\pdfs\nc_housing_2025-08.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-08,$2M and up,2000000.0,,10,1505.0,1217.0,14.9,data\pdfs\nc_housing_2025-08.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-09,"Below $125,000",0.0,125000.0,1,1185.0,3387.0,4.2,data\pdfs\nc_housing_2025-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-09,"$125,000 - $249,999",125000.0,249999.0,2,8638.0,22830.0,4.5,data\pdfs\nc_housing_2025-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-09,"$250,000 - $374,999",250000.0,374999.0,3,19633.0,45364.0,5.2,data\pdfs\nc_housing_2025-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-09,"$375,000 - $499,999",375000.0,499999.0,4,15129.0,32158.0,5.6,data\pdfs\nc_housing_2025-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-09,"$500,000 - $624,999",500000.0,624999.0,5,7309.0,14440.0,6.1,data\pdfs\nc_housing_2025-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-09,"$625,000 - $749,999",625000.0,749999.0,6,4682.0,8803.0,6.4,data\pdfs\nc_housing_2025-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-09,"$750,000 - $874,999",750000.0,874999.0,7,2877.0,5064.0,6.8,data\pdfs\nc_housing_2025-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-09,"$875,000 - $999,999",875000.0,999999.0,8,1956.0,3290.0,7.1,data\pdfs\nc_housing_2025-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-09,$1M - $1.99M,1000000.0,1990000.0,9,4088.0,6113.0,8.0,data\pdfs\nc_housing_2025-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-09,$2M and up,2000000.0,,10,1502.0,1237.0,14.6,data\pdfs\nc_housing_2025-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-10,"Below $125,000",0.0,125000.0,1,1186.0,3376.0,4.2,data\pdfs\nc_housing_2025-10.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-10,"$125,000 - $249,999",125000.0,249999.0,2,8680.0,22753.0,4.6,data\pdfs\nc_housing_2025-10.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-10,"$250,000 - $374,999",250000.0,374999.0,3,19538.0,45689.0,5.1,data\pdfs\nc_housing_2025-10.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-10,"$375,000 - $499,999",375000.0,499999.0,4,14747.0,32328.0,5.5,data\pdfs\nc_housing_2025-10.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-10,"$500,000 - $624,999",500000.0,624999.0,5,7082.0,14570.0,5.8,data\pdfs\nc_housing_2025-10.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-10,"$625,000 - $749,999",625000.0,749999.0,6,4598.0,8886.0,6.2,data\pdfs\nc_housing_2025-10.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-10,"$750,000 - $874,999",750000.0,874999.0,7,2754.0,5096.0,6.5,data\pdfs\nc_housing_2025-10.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-10,"$875,000 - $999,999",875000.0,999999.0,8,1954.0,3305.0,7.1,data\pdfs\nc_housing_2025-10.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-10,$1M - $1.99M,1000000.0,1990000.0,9,3997.0,6235.0,7.7,data\pdfs\nc_housing_2025-10.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-10,$2M and up,2000000.0,,10,1505.0,1245.0,14.6,data\pdfs\nc_housing_2025-10.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2025-11,"Below $125,000",0.0,125000.0,1,1060.0,3333.0,3.8,data\pdfs\nc_housing_2025-11.pdf,2026-02-23 15:13:07,2026-03-10 19:30:26
2025-11,"$125,000 - $249,999",125000.0,249999.0,2,8375.0,22679.0,4.4,data\pdfs\nc_housing_2025-11.pdf,2026-02-23 15:13:07,2026-03-10 19:30:26
2025-11,"$250,000 - $374,999",250000.0,374999.0,3,18657.0,45804.0,4.9,data\pdfs\nc_housing_2025-11.pdf,2026-02-23 15:13:07,2026-03-10 19:30:26
2025-11,"$375,000 - $499,999",375000.0,499999.0,4,13791.0,32342.0,5.1,data\pdfs\nc_housing_2025-11.pdf,2026-02-23 15:13:07,2026-03-10 19:30:26
2025-11,"$500,000 - $624,999",500000.0,624999.0,5,6488.0,14583.0,5.3,data\pdfs\nc_housing_2025-11.pdf,2026-02-23 15:13:07,2026-03-10 19:30:26
2025-11,"$625,000 - $749,999",625000.0,749999.0,6,4228.0,9042.0,5.6,data\pdfs\nc_housing_2025-11.pdf,2026-02-23 15:13:07,2026-03-10 19:30:26
2025-11,"$750,000 - $874,999",750000.0,874999.0,7,2491.0,5193.0,5.8,data\pdfs\nc_housing_2025-11.pdf,2026-02-23 15:13:07,2026-03-10 19:30:26
2025-11,"$875,000 - $999,999",875000.0,999999.0,8,1767.0,3327.0,6.4,data\pdfs\nc_housing_2025-11.pdf,2026-02-23 15:13:07,2026-03-10 19:30:26
2025-11,$1M - $1.99M,1000000.0,1990000.0,9,3661.0,6363.0,6.9,data\pdfs\nc_housing_2025-11.pdf,2026-02-23 15:13:07,2026-03-10 19:30:26
2025-11,$2M and up,2000000.0,,10,1415.0,1281.0,13.3,data\pdfs\nc_housing_2025-11.pdf,2026-02-23 15:13:07,2026-03-10 19:30:26
2025-12,"Below $125,000",0.0,125000.0,1,905.0,3307.0,3.3,data\pdfs\nc_housing_2025-12.pdf,2026-02-23 15:13:23,2026-03-10 19:30:26
2025-12,"$125,000 - $249,999",125000.0,249999.0,2,7098.0,22422.0,3.8,data\pdfs\nc_housing_2025-12.pdf,2026-02-23 15:13:23,2026-03-10 19:30:26
2025-12,"$250,000 - $374,999",250000.0,374999.0,3,16067.0,45654.0,4.2,data\pdfs\nc_housing_2025-12.pdf,2026-02-23 15:13:23,2026-03-10 19:30:26
2025-12,"$375,000 - $499,999",375000.0,499999.0,4,11454.0,32219.0,4.3,data\pdfs\nc_housing_2025-12.pdf,2026-02-23 15:13:23,2026-03-10 19:30:26
2025-12,"$500,000 - $624,999",500000.0,624999.0,5,5259.0,14594.0,4.3,data\pdfs\nc_housing_2025-12.pdf,2026-02-23 15:13:23,2026-03-10 19:30:26
2025-12,"$625,000 - $749,999",625000.0,749999.0,6,3435.0,9091.0,4.5,data\pdfs\nc_housing_2025-12.pdf,2026-02-23 15:13:23,2026-03-10 19:30:26
2025-12,"$750,000 - $874,999",750000.0,874999.0,7,1992.0,5234.0,4.6,data\pdfs\nc_housing_2025-12.pdf,2026-02-23 15:13:23,2026-03-10 19:30:26
2025-12,"$875,000 - $999,999",875000.0,999999.0,8,1411.0,3339.0,5.1,data\pdfs\nc_housing_2025-12.pdf,2026-02-23 15:13:23,2026-03-10 19:30:26
2025-12,$1M - $1.99M,1000000.0,1990000.0,9,2857.0,6376.0,5.4,data\pdfs\nc_housing_2025-12.pdf,2026-02-23 15:13:23,2026-03-10 19:30:26
2025-12,$2M and up,2000000.0,,10,1198.0,1313.0,11.0,data\pdfs\nc_housing_2025-12.pdf,2026-02-23 15:13:23,2026-03-10 19:30:26
2026-01,"Below $125,000",0.0,125000.0,1,1009.0,3284.0,3.7,data\pdfs\nc_housing_2026-01.pdf,2026-03-10 19:10:53,2026-03-10 19:30:26
2026-01,"$125,000 - $249,999",125000.0,249999.0,2,7789.0,22411.0,4.2,data\pdfs\nc_housing_2026-01.pdf,2026-03-10 19:10:53,2026-03-10 19:30:26
2026-01,"$250,000 - $374,999",250000.0,374999.0,3,17508.0,46027.0,4.6,data\pdfs\nc_housing_2026-01.pdf,2026-03-10 19:10:53,2026-03-10 19:30:26
2026-01,"$375,000 - $499,999",375000.0,499999.0,4,12180.0,32478.0,4.5,data\pdfs\nc_housing_2026-01.pdf,2026-03-10 19:10:53,2026-03-10 19:30:26
2026-01,"$500,000 - $624,999",500000.0,624999.0,5,5571.0,14700.0,4.5,data\pdfs\nc_housing_2026-01.pdf,2026-03-10 19:10:53,2026-03-10 19:30:26
2026-01,"$625,000 - $749,999",625000.0,749999.0,6,3576.0,9112.0,4.7,data\pdfs\nc_housing_2026-01.pdf,2026-03-10 19:10:53,2026-03-10 19:30:26
2026-01,"$750,000 - $874,999",750000.0,874999.0,7,1992.0,5308.0,4.5,data\pdfs\nc_housing_2026-01.pdf,2026-03-10 19:10:53,2026-03-10 19:30:26
2026-01,"$875,000 - $999,999",875000.0,999999.0,8,1445.0,3374.0,5.1,data\pdfs\nc_housing_2026-01.pdf,2026-03-10 19:10:53,2026-03-10 19:30:26
2026-01,$1M - $1.99M,1000000.0,1990000.0,9,2923.0,6505.0,5.4,data\pdfs\nc_housing_2026-01.pdf,2026-03-10 19:10:53,2026-03-10 19:30:26
2026-01,$2M and up,2000000.0,,10,1216.0,1378.0,10.7,data\pdfs\nc_housing_2026-01.pdf,2026-03-10 19:10:53,2026-03-10 19:30:26
2026-02,"Below $125,000",0.0,125000.0,1,1084.0,3195.0,4.1,data\pdfs\nc_housing_2026-02.pdf,2026-03-10 19:12:56,2026-03-10 19:30:26
2026-02,"$125,000 - $249,999",125000.0,249999.0,2,8240.0,22027.0,4.5,data\pdfs\nc_housing_2026-02.pdf,2026-03-10 19:12:56,2026-03-10 19:30:26
2026-02,"$250,000 - $374,999",250000.0,374999.0,3,18937.0,45654.0,5.0,data\pdfs\nc_housing_2026-02.pdf,2026-03-10 19:12:56,2026-03-10 19:30:26
2026-02,"$375,000 - $499,999",375000.0,499999.0,4,13206.0,32139.0,4.9,data\pdfs\nc_housing_2026-02.pdf,2026-03-10 19:12:56,2026-03-10 19:30:26
2026-02,"$500,000 - $624,999",500000.0,624999.0,5,5978.0,14530.0,4.9,data\pdfs\nc_housing_2026-02.pdf,2026-03-10 19:12:56,2026-03-10 19:30:26
2026-02,"$625,000 - $749,999",625000.0,749999.0,6,3982.0,9055.0,5.3,data\pdfs\nc_housing_2026-02.pdf,2026-03-10 19:12:56,2026-03-10 19:30:26
2026-02,"$750,000 - $874,999",750000.0,874999.0,7,2183.0,5301.0,5.0,data\pdfs\nc_housing_2026-02.pdf,2026-03-10 19:12:56,2026-03-10 19:30:26
2026-02,"$875,000 - $999,999",875000.0,999999.0,8,1593.0,3368.0,5.7,data\pdfs\nc_housing_2026-02.pdf,2026-03-10 19:12:56,2026-03-10 19:30:26
2026-02,$1M - $1.99M,1000000.0,1990000.0,9,3293.0,6478.0,6.1,data\pdfs\nc_housing_2026-02.pdf,2026-03-10 19:12:56,2026-03-10 19:30:26
2026-02,$2M and up,2000000.0,,10,1340.0,1386.0,11.7,data\pdfs\nc_housing_2026-02.pdf,2026-03-10 19:12:56,2026-03-10 19:30:26
