report_month,listings_y0,listings_y1,listings_y2,listings_y3,sales_y0,sales_y1,sales_y2,sales_y3,median_price_y0,median_price_y1,median_price_y2,median_price_y3,months_inventory_current,yoy_listings_pct,yoy_sales_pct,yoy_price_pct,yoy_inventory_pct,source_pdf,parsed_at,parse_status,parse_notes
2024-01,42363.0,44763.0,42849.0,48999.0,8410.0,8877.0,13094.0,12899.0,306705.0,280000.0,274000.0,226000.0,3.4,-5.4,-5.3,9.4,13.9,data\pdfs\nc_housing_2024-01.pdf,2026-02-23 15:47:55,OK,
2024-02,42973.0,45272.0,43816.0,50487.0,9550.0,10148.0,12836.0,13117.0,310036.0,281000.0,277000.0,231000.0,3.46,-5.1,-5.9,10.5,11.9,data\pdfs\nc_housing_2024-02.pdf,2026-02-23 15:48:34,OK,
2024-03,48689.0,46106.0,45365.0,51304.0,12356.0,14238.0,16602.0,17713.0,312881.0,292000.0,283000.0,238000.0,3.9,5.5,-13.3,7.1,22.1,data\pdfs\nc_housing_2024-03.pdf,2026-02-23 15:48:36,OK,
2024-04,50403.0,47173.0,48167.0,53332.0,12970.0,12729.0,16316.0,17493.0,362500.0,350000.0,348000.0,286000.0,4.09,6.8,1.8,3.5,23.5,data\pdfs\nc_housing_2024-04.pdf,2026-03-04 11:14:35,OK,
2024-05,52058.0,47451.0,51243.0,54690.0,14499.0,14697.0,17217.0,17688.0,367367.0,360000.0,355000.0,297000.0,4.21,9.6,-1.4,2.0,23.7,data\pdfs\nc_housing_2024-05.pdf,2026-03-04 11:14:35,OK,
2024-06,52188.0,46519.0,53483.0,53843.0,12698.0,15694.0,18432.0,20800.0,374700.0,360000.0,360000.0,305000.0,4.23,12.2,-19.1,4.0,24.7,data\pdfs\nc_housing_2024-06.pdf,2026-03-04 11:14:35,OK,
2024-07,51955.0,46991.0,55950.0,55403.0,12889.0,12913.0,15679.0,18788.0,370000.0,364000.0,355000.0,302000.0,4.29,10.5,-0.3,1.6,22.6,data\pdfs\nc_housing_2024-07.pdf,2026-03-04 11:14:35,OK,
2024-08,53008.0,46920.0,55097.0,55350.0,12544.0,14054.0,16705.0,19108.0,370000.0,358000.0,350000.0,305000.0,4.41,12.9,-10.8,3.3,23.1,data\pdfs\nc_housing_2024-08.pdf,2026-03-04 11:14:37,OK,
2024-09,53560.0,47349.0,53523.0,54566.0,10506.0,12305.0,15341.0,18329.0,365000.0,355000.0,345000.0,305000.0,4.49,13.1,-14.6,2.7,21.9,data\pdfs\nc_housing_2024-09.pdf,2026-03-04 11:14:37,OK,
2024-10,53402.0,48323.0,51998.0,54356.0,11572.0,11863.0,13417.0,17628.0,366900.0,355000.0,343000.0,308000.0,4.48,10.5,-2.5,3.4,17.1,data\pdfs\nc_housing_2024-10.pdf,2026-03-04 11:14:36,OK,
2024-11,51887.0,47460.0,49179.0,50557.0,9918.0,10845.0,11804.0,17049.0,364900.0,352000.0,345000.0,315000.0,4.35,9.3,-8.6,3.6,14.1,data\pdfs\nc_housing_2024-11.pdf,2026-03-04 11:14:36,OK,
2024-12,49391.0,44249.0,44222.0,44405.0,11372.0,10399.0,11838.0,17776.0,365000.0,350000.0,340000.0,320000.0,4.0,11.5,9.3,4.3,14.0,data\pdfs\nc_housing_2024-12.pdf,2026-03-04 11:14:36,OK,
2025-01,50825.0,46554.0,45215.0,43239.0,8861.0,8865.0,8900.0,13144.0,354900.0,346000.0,330000.0,315000.0,4.09,9.1,-0.1,2.5,9.7,data\pdfs\nc_housing_2025-01.pdf,2026-03-04 11:14:36,OK,
2025-02,52513.0,49128.0,45471.0,43371.0,9059.0,10521.0,10176.0,12737.0,352336.0,350000.0,332000.0,321000.0,4.23,6.8,-13.9,0.6,7.5,data\pdfs\nc_housing_2025-02.pdf,2026-03-04 11:14:36,OK,
2025-03,52513.0,,,,9059.0,,,,352336.0,,,,4.23,6.8,-13.9,0.6,7.5,data\pdfs\nc_housing_2025-03.pdf,2026-03-04 11:14:36,WARN,missing listings history (y1..y3); missing sales history (y1..y3); missing price history (y1..y3)
2025-04,62797.0,53102.0,47188.0,47192.0,12264.0,13672.0,12659.0,16161.0,368000.0,365000.0,350000.0,347000.0,5.19,18.2,-10.4,0.8,20.2,data\pdfs\nc_housing_2025-04.pdf,2026-03-04 11:14:36,OK,
2025-05,67506.0,53673.0,46495.0,50327.0,13296.0,14535.0,14241.0,16683.0,374994.0,367000.0,359000.0,355000.0,5.7,25.7,-8.5,2.1,27.5,data\pdfs\nc_housing_2025-05.pdf,2026-03-04 11:14:36,OK,
2025-06,67143.0,55414.0,45744.0,52564.0,13831.0,13329.0,15193.0,17921.0,380000.0,370000.0,360000.0,360000.0,5.68,21.1,3.7,2.6,23.5,data\pdfs\nc_housing_2025-06.pdf,2026-03-04 11:14:37,OK,
2025-07,67370.0,55539.0,46385.0,55141.0,12717.0,13555.0,12510.0,15239.0,375000.0,367000.0,361000.0,355000.0,5.67,21.3,-6.3,2.3,21.4,data\pdfs\nc_housing_2025-07.pdf,2026-03-04 11:14:37,OK,
2025-08,67223.0,55758.0,46761.0,54615.0,12330.0,13146.0,13763.0,16318.0,375000.0,370000.0,356000.0,350000.0,5.65,20.5,-6.3,1.3,21.3,data\pdfs\nc_housing_2025-08.pdf,2026-03-04 11:14:37,OK,
2025-09,66999.0,56854.0,47549.0,53293.0,11819.0,11237.0,12074.0,14999.0,370000.0,365000.0,353000.0,345000.0,5.63,17.8,5.1,1.4,18.1,data\pdfs\nc_housing_2025-09.pdf,2026-03-04 11:14:37,OK,
2025-10,66041.0,56104.0,48305.0,51941.0,12423.0,12176.0,11613.0,13113.0,370000.0,365000.0,352000.0,341000.0,5.52,17.6,2.0,1.4,16.6,data\pdfs\nc_housing_2025-10.pdf,2026-03-04 11:14:37,OK,
2025-11,61933.0,55218.0,47619.0,49461.0,8133.0,10569.0,10632.0,11617.0,380000.0,362000.0,350000.0,345000.0,5.16,12.1,-23.1,4.9,11.3,data\pdfs\nc_housing_2025-11.pdf,2026-02-23 15:13:07,OK,
2025-12,51676.0,48580.0,42670.0,42812.0,10980.0,11302.0,10019.0,11437.0,374990.0,365000.0,350000.0,339000.0,4.32,6.4,-2.9,2.7,5.7,data\pdfs\nc_housing_2025-12.pdf,2026-02-23 15:13:23,OK,
2026-01,55209.0,50796.0,44776.0,43797.0,7739.0,8867.0,8558.0,8534.0,355000.0,355000.0,345000.0,330000.0,4.58,,,,,data\pdfs\nc_housing_2026-01.pdf,2026-03-10 18:33:47,WARN,missing many YoY fields (4/4)
